T-1,T-2,T-3,T-24,T
6354.60408,6456.5496,6422.56776,6843.75552,6473.54052
6473.54052,6354.60408,6456.5496,8063.04888,7051.2318
7051.2318,6473.54052,6354.60408,8063.04888,8546.43276
8546.43276,7051.2318,6473.54052,8063.04888,8393.51448
8393.51448,8546.43276,7051.2318,6955.67736,8291.56896
8291.56896,8393.51448,8546.43276,6687.252,7170.16824
7170.16824,8291.56896,8393.51448,5709.8844,7526.97756
7526.97756,7170.16824,8291.56896,5554.16028,3381.19308
3381.19308,7526.97756,7170.16824,5450.3442,5415.73884
5415.73884,3381.19308,7526.97756,5294.62008,5277.3174
5277.3174,5415.73884,3381.19308,5208.10668,6288.35508
6288.35508,5277.3174,5415.73884,5260.01472,5865.60852
5865.60852,6288.35508,5277.3174,5420.88288,6099.74028
6099.74028,5865.60852,6288.35508,6094.28448,6065.75844
6065.75844,6099.74028,5865.60852,6683.51088,6082.74936
6082.74936,6065.75844,6099.74028,6717.18096,6966.2772
6966.2772,6082.74936,6065.75844,6750.85104,6439.55868
6439.55868,6966.2772,6082.74936,6835.02624,6473.54052
6473.54052,6439.55868,6966.2772,6919.20144,6430.98528
6430.98528,6473.54052,6439.55868,6700.34592,6750.85104
6750.85104,6430.98528,6473.54052,6447.82032,6584.3712
6584.3712,6750.85104,6430.98528,6422.56776,6464.3436
6464.3436,6584.3712,6750.85104,6456.5496,6412.9032
6412.9032,6464.3436,6584.3712,6354.60408,6303.63132
6303.63132,6412.9032,6464.3436,6473.54052,6652.9584
6652.9584,6303.63132,6412.9032,7051.2318,7306.0956
7306.0956,6652.9584,6303.63132,8546.43276,8529.44184
8529.44184,7306.0956,6652.9584,8393.51448,8648.37828
8648.37828,8529.44184,7306.0956,8291.56896,8648.37828
8648.37828,8648.37828,8529.44184,7170.16824,7645.914
7645.914,8648.37828,8648.37828,7526.97756,7255.12284
7255.12284,7645.914,8648.37828,3381.19308,6327.1692
6327.1692,7255.12284,7645.914,5415.73884,5970.82752
5970.82752,6327.1692,7255.12284,5277.3174,5796.24192
5796.24192,5970.82752,6327.1692,6288.35508,5484.94956
5484.94956,5796.24192,5970.82752,5865.60852,5707.07856
5707.07856,5484.94956,5796.24192,6099.74028,5865.60852
5865.60852,5707.07856,5484.94956,6065.75844,6116.7312
6116.7312,5865.60852,5707.07856,6082.74936,6807.2796
6807.2796,6116.7312,5865.60852,6966.2772,8024.7024
8024.7024,6807.2796,6116.7312,6439.55868,6807.2796
6807.2796,8024.7024,6807.2796,6473.54052,6670.1052
6670.1052,6807.2796,8024.7024,6430.98528,6779.37708
6779.37708,6670.1052,6807.2796,6750.85104,6738.6924
6738.6924,6779.37708,6670.1052,6584.3712,6721.5456
6721.5456,6738.6924,6779.37708,6464.3436,6515.784
6515.784,6721.5456,6738.6924,6412.9032,6052.8204
6052.8204,6515.784,6721.5456,6303.63132,6350.08356
6350.08356,6052.8204,6515.784,6652.9584,6592.32108
6592.32108,6350.08356,6052.8204,7306.0956,7115.922
7115.922,6592.32108,6350.08356,8529.44184,8179.0236
8179.0236,7115.922,6592.32108,8648.37828,8218.773
8218.773,8179.0236,7115.922,8648.37828,7832.81412
7832.81412,8218.773,8179.0236,7645.914,7747.85952
7747.85952,7832.81412,8218.773,7255.12284,8410.5054
8410.5054,7747.85952,7832.81412,6327.1692,6167.70396
6167.70396,8410.5054,7747.85952,5970.82752,5522.049
5522.049,6167.70396,8410.5054,5796.24192,5242.71204
5242.71204,5522.049,6167.70396,5484.94956,5126.8932
5126.8932,5242.71204,5522.049,5707.07856,5478.09084
5478.09084,5126.8932,5242.71204,5865.60852,5757.58368
5757.58368,5478.09084,5126.8932,6116.7312,6145.41312
6145.41312,5757.58368,5478.09084,6807.2796,7076.79612
7076.79612,6145.41312,5757.58368,8024.7024,7272.11376
7272.11376,7076.79612,6145.41312,6807.2796,7679.89584
7679.89584,7272.11376,7076.79612,6670.1052,7272.73728
7272.73728,7679.89584,7272.11376,6779.37708,6801.35616
6801.35616,7272.73728,7679.89584,6738.6924,6750.85104
6750.85104,6801.35616,7272.73728,6721.5456,6144.7896
6144.7896,6750.85104,6801.35616,6515.784,6127.95456
6127.95456,6144.7896,6750.85104,6052.8204,6133.72212
6133.72212,6127.95456,6144.7896,6350.08356,6082.74936
6082.74936,6133.72212,6127.95456,6592.32108,6762.38616
6762.38616,6082.74936,6133.72212,7115.922,7051.2318
7051.2318,6762.38616,6082.74936,8179.0236,8257.89888
8257.89888,7051.2318,6762.38616,8218.773,8374.49712
8374.49712,8257.89888,7051.2318,7832.81412,8144.73
8144.73,8374.49712,8257.89888,7747.85952,7218.8028
7218.8028,8144.73,8374.49712,8410.5054,6921.072
6921.072,7218.8028,8144.73,6167.70396,6678.83448
6678.83448,6921.072,7218.8028,5522.049,6182.66844
6182.66844,6678.83448,6921.072,5242.71204,5846.43528
5846.43528,6182.66844,6678.83448,5126.8932,5757.58368
5757.58368,5846.43528,6182.66844,5478.09084,5722.04304
5722.04304,5757.58368,5846.43528,5757.58368,5988.59784
5988.59784,5722.04304,5757.58368,6145.41312,6378.6096
6378.6096,5988.59784,5722.04304,7076.79612,7767.5004
7767.5004,6378.6096,5988.59784,7272.11376,7613.1792
7613.1792,7767.5004,6378.6096,7679.89584,6700.34592
6700.34592,7613.1792,7767.5004,7272.73728,6851.86128
6851.86128,6700.34592,7613.1792,6801.35616,6952.87152
6952.87152,6851.86128,6700.34592,6750.85104,6902.3664
6902.3664,6952.87152,6851.86128,6144.7896,6835.02624
6835.02624,6902.3664,6952.87152,6127.95456,6643.44972
6643.44972,6835.02624,6902.3664,6133.72212,6439.55868
6439.55868,6643.44972,6835.02624,6082.74936,6412.9032
6412.9032,6439.55868,6643.44972,6762.38616,6601.518
6601.518,6412.9032,6439.55868,7051.2318,7094.0988
7094.0988,6601.518,6412.9032,8257.89888,8357.19444
8357.19444,7094.0988,6601.518,8374.49712,8097.65424
8097.65424,8357.19444,7094.0988,8144.73,7558.93296
7558.93296,8097.65424,8357.19444,7218.8028,7323.08652
7323.08652,7558.93296,8097.65424,6921.072,6796.368
6796.368,7323.08652,7558.93296,6678.83448,5433.04152
5433.04152,6796.368,7323.08652,6182.66844,6232.70592
6232.70592,5433.04152,6796.368,5846.43528,5778.78336
5778.78336,6232.70592,5433.04152,5757.58368,5604.19776
5604.19776,5778.78336,6232.70592,5722.04304,5918.45184
5918.45184,5604.19776,5778.78336,5988.59784,6127.95456
6127.95456,5918.45184,5604.19776,6378.6096,7611.93216
7611.93216,6127.95456,5918.45184,7767.5004,7629.39072
7629.39072,7611.93216,6127.95456,7613.1792,7769.0592
7769.0592,7629.39072,7611.93216,6700.34592,6531.99552
6531.99552,7769.0592,7629.39072,6851.86128,6885.53136
6885.53136,6531.99552,7769.0592,6952.87152,6296.30496
6296.30496,6885.53136,6531.99552,6902.3664,6784.52112
6784.52112,6296.30496,6885.53136,6835.02624,6818.1912
6818.1912,6784.52112,6296.30496,6643.44972,6683.51088
6683.51088,6818.1912,6784.52112,6439.55868,6717.18096
6717.18096,6683.51088,6818.1912,6412.9032,6813.35892
6813.35892,6717.18096,6683.51088,6601.518,6745.39524
6745.39524,6813.35892,6717.18096,7094.0988,7390.2708
7390.2708,6745.39524,6813.35892,8357.19444,8602.70544
8602.70544,7390.2708,6745.39524,8097.65424,8624.8404
8624.8404,8602.70544,7390.2708,7558.93296,8504.8128
8504.8128,8624.8404,8602.70544,7323.08652,8189.62344
8189.62344,8504.8128,8624.8404,6796.368,7832.81412
7832.81412,8189.62344,8504.8128,5433.04152,7085.21364
7085.21364,7832.81412,8189.62344,6232.70592,5467.64688
5467.64688,7085.21364,7832.81412,5778.78336,5329.22544
5329.22544,5467.64688,7085.21364,5604.19776,5467.64688
5467.64688,5329.22544,5467.64688,5918.45184,5502.25224
5502.25224,5467.64688,5329.22544,6127.95456,6021.33264
6021.33264,5502.25224,5467.64688,7611.93216,6111.11952
6111.11952,6021.33264,5502.25224,7629.39072,6784.52112
6784.52112,6111.11952,6021.33264,7769.0592,6893.0136
6893.0136,6784.52112,6111.11952,6531.99552,6932.29536
6932.29536,6893.0136,6784.52112,6885.53136,6286.6404
6286.6404,6932.29536,6893.0136,6296.30496,6609.46788
6609.46788,6286.6404,6932.29536,6784.52112,6541.5042
6541.5042,6609.46788,6286.6404,6818.1912,6337.61316
6337.61316,6541.5042,6609.46788,6683.51088,6395.7564
6395.7564,6337.61316,6541.5042,6717.18096,6618.6648
6618.6648,6395.7564,6337.61316,6813.35892,6618.6648
6618.6648,6618.6648,6395.7564,6745.39524,6567.2244
6567.2244,6618.6648,6618.6648,7390.2708,7098.7752
7098.7752,6567.2244,6618.6648,8602.70544,8607.6936
8607.6936,7098.7752,6567.2244,8624.8404,8607.6936
8607.6936,8607.6936,7098.7752,8504.8128,8590.5468
8590.5468,8607.6936,8607.6936,8189.62344,8710.5744
8710.5744,8590.5468,8607.6936,7832.81412,7613.1792
7613.1792,8710.5744,8590.5468,7085.21364,7218.8028
7218.8028,7613.1792,8710.5744,5467.64688,5571.46296
5571.46296,7218.8028,7613.1792,5329.22544,5519.55492
5519.55492,5571.46296,7218.8028,5467.64688,5640.67368
5640.67368,5519.55492,5571.46296,5502.25224,5900.99328
5900.99328,5640.67368,5519.55492,6021.33264,6354.91584
6354.91584,5900.99328,5640.67368,6111.11952,7384.97088
7384.97088,6354.91584,5900.99328,6784.52112,7696.88676
7696.88676,7384.97088,6354.91584,6893.0136,7696.88676
7696.88676,7696.88676,7384.97088,6932.29536,6796.368
6796.368,7696.88676,7696.88676,6286.6404,6830.34984
6830.34984,6796.368,7696.88676,6609.46788,7138.05696
7138.05696,6830.34984,6796.368,6541.5042,7003.37664
7003.37664,7138.05696,6830.34984,6337.61316,6286.6404
6286.6404,7003.37664,7138.05696,6395.7564,6955.67736
6955.67736,6286.6404,7003.37664,6618.6648,6453.89964
6453.89964,6955.67736,6286.6404,6618.6648,6955.67736
6955.67736,6453.89964,6955.67736,6567.2244,5502.25224
5502.25224,6955.67736,6453.89964,7098.7752,8218.773
8218.773,5502.25224,6955.67736,8607.6936,8824.3668
8824.3668,8218.773,5502.25224,8607.6936,8213.3172
8213.3172,8824.3668,8218.773,8590.5468,8065.85472
8065.85472,8213.3172,8824.3668,8710.5744,7167.3624
7167.3624,8065.85472,8213.3172,7613.1792,6755.8392
6755.8392,7167.3624,8065.85472,7218.8028,6104.2608
6104.2608,6755.8392,7167.3624,5571.46296,5986.72728
5986.72728,6104.2608,6755.8392,5519.55492,5865.60852
5865.60852,5986.72728,6104.2608,5640.67368,5727.18708
5727.18708,5865.60852,5986.72728,5900.99328,5779.09512
5779.09512,5727.18708,5865.60852,6354.91584,5398.43616
5398.43616,5779.09512,5727.18708,7384.97088,6700.34592
6700.34592,5398.43616,5779.09512,7696.88676,7662.90492
7662.90492,6700.34592,5398.43616,7696.88676,7238.13192
7238.13192,7662.90492,6700.34592,6796.368,6439.55868
6439.55868,7238.13192,7662.90492,6830.34984,6644.22912
6644.22912,6439.55868,7238.13192,7138.05696,6626.92644
6626.92644,6644.22912,6439.55868,7003.37664,6730.74252
6730.74252,6626.92644,6644.22912,6286.6404,6584.3712
6584.3712,6730.74252,6626.92644,6955.67736,6626.92644
6626.92644,6584.3712,6730.74252,6453.89964,6592.32108
6592.32108,6626.92644,6584.3712,6955.67736,6263.57016
6263.57016,6592.32108,6626.92644,5502.25224,6258.582
6258.582,6263.57016,6592.32108,8218.773,5555.5632
5555.5632,6258.582,6263.57016,8824.3668,7962.97392
7962.97392,5555.5632,6258.582,8213.3172,8264.7576
8264.7576,7962.97392,5555.5632,8065.85472,8058.996
8058.996,8264.7576,7962.97392,7167.3624,7373.124
7373.124,8058.996,8264.7576,6755.8392,7064.4816
7064.4816,7373.124,8058.996,6104.2608,6755.8392
6755.8392,7064.4816,7373.124,5986.72728,5467.64688
5467.64688,6755.8392,7064.4816,5865.60852,5294.62008
5294.62008,5467.64688,6755.8392,5727.18708,5237.568
5237.568,5294.62008,5467.64688,5779.09512,5156.19864
5156.19864,5237.568,5294.62008,5398.43616,5624.1504
5624.1504,5156.19864,5237.568,6700.34592,6292.8756
6292.8756,5624.1504,5156.19864,7662.90492,7340.07744
7340.07744,6292.8756,5624.1504,7238.13192,7321.6836
7321.6836,7340.07744,6292.8756,6439.55868,6721.5456
6721.5456,7321.6836,7340.07744,6644.22912,6755.8392
6755.8392,6721.5456,7321.6836,6626.92644,6395.7564
6395.7564,6755.8392,6721.5456,6730.74252,6367.38624
6367.38624,6395.7564,6755.8392,6584.3712,6367.38624
6367.38624,6367.38624,6395.7564,6626.92644,6429.2706
6429.2706,6367.38624,6367.38624,6592.32108,6394.04172
6394.04172,6429.2706,6367.38624,6263.57016,6358.81284
6358.81284,6394.04172,6429.2706,6258.582,6429.2706
6429.2706,6358.81284,6394.04172,5555.5632,6499.72836
6499.72836,6429.2706,6358.81284,7962.97392,6696.13716
6696.13716,6499.72836,6429.2706,8264.7576,6319.99872
6319.99872,6696.13716,6499.72836,8058.996,5986.72728
5986.72728,6319.99872,6696.13716,7373.124,5623.371
5623.371,5986.72728,6319.99872,7064.4816,5935.9104
5935.9104,5623.371,5986.72728,6755.8392,5708.94912
5708.94912,5935.9104,5623.371,5467.64688,5692.58172
5692.58172,5708.94912,5935.9104,5294.62008,5484.94956
5484.94956,5692.58172,5708.94912,5237.568,5447.07072
5447.07072,5484.94956,5692.58172,5156.19864,5534.36352
5534.36352,5447.07072,5484.94956,5624.1504,5586.7392
5586.7392,5534.36352,5447.07072,6292.8756,5866.07616
5866.07616,5586.7392,5534.36352,7340.07744,7336.33632
7336.33632,5866.07616,5586.7392,7321.6836,6634.2528
6634.2528,7336.33632,5866.07616,6721.5456,6529.50144
6529.50144,6634.2528,7336.33632,6755.8392,6211.66212
6211.66212,6529.50144,6634.2528,6395.7564,6471.20232
6471.20232,6211.66212,6529.50144,6367.38624,6038.63532
6038.63532,6471.20232,6211.66212,6367.38624,5778.78336
5778.78336,6038.63532,6471.20232,6429.2706,5727.18708
5727.18708,5778.78336,6038.63532,6394.04172,5604.19776
5604.19776,5727.18708,5778.78336,6358.81284,5727.18708
5727.18708,5604.19776,5727.18708,6429.2706,6232.70592
6232.70592,5727.18708,5604.19776,6499.72836,7249.82292
7249.82292,6232.70592,5727.18708,6696.13716,7993.83816
7993.83816,7249.82292,6232.70592,6319.99872,7699.6926
7699.6926,7993.83816,7249.82292,5986.72728,7262.76096
7262.76096,7699.6926,7993.83816,5623.371,6878.67264
6878.67264,7262.76096,7699.6926,5935.9104,6886.46664
6886.46664,6878.67264,7262.76096,5708.94912,6903.76932
6903.76932,6886.46664,6878.67264,5692.58172,5952.12192
5952.12192,6903.76932,6886.46664,5484.94956,5865.60852
5865.60852,5952.12192,6903.76932,5447.07072,5831.00316
5831.00316,5865.60852,5952.12192,5534.36352,6055.938
6055.938,5831.00316,5865.60852,5586.7392,6194.35944
6194.35944,6055.938,5831.00316,5866.07616,5675.27904
5675.27904,6194.35944,6055.938,7336.33632,5761.79244
5761.79244,5675.27904,6194.35944,6634.2528,6779.37708
6779.37708,5761.79244,5675.27904,6529.50144,5793.90372
5793.90372,6779.37708,5761.79244,6211.66212,5827.88556
5827.88556,5793.90372,6779.37708,6471.20232,5759.92188
5759.92188,5827.88556,5793.90372,6038.63532,5726.40768
5726.40768,5759.92188,5827.88556,5778.78336,5604.19776
5604.19776,5726.40768,5759.92188,5727.18708,5726.40768
5726.40768,5604.19776,5726.40768,5604.19776,5691.49056
5691.49056,5726.40768,5604.19776,5727.18708,5324.8608
5324.8608,5691.49056,5726.40768,6232.70592,5656.57344
